tool		CRAMC 	CRAMC 	CRAMC 	CRAMC 	CRAMC 	Mcmillan 	Mcmillan 	Mcmillan 	Mcmillan 	Mcmillan 	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1
run set		CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Ultimate.thesis-all	Ultimate.thesis-all	Ultimate.thesis-all	Ultimate.thesis-all	Ultimate.thesis-all
tasks/		status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)
loop-new/count_by_1_variant.yml	true	true	0.38192975	0.3141373230027966	234.180608	9.041748						true	11.534278541	4.847209043997282	316.137472	171.078003
loop-new/count_by_2.yml	true	true	0.373099352	0.3042533959960565	216.903680	8.644897						TIMEOUT	245.357051724	181.00451954500022	1490.489344	5725.858826
loop-new/count_by_k.yml	true	true	0.451424394	0.38961291500891093	306.798592	11.016907						TIMEOUT	239.586049184	181.00487801300187	1010.995200	5714.580139
loop-new/count_by_nondet.yml	true	false	0.481963271	0.41765351699723396	361.009152	11.683533						TIMEOUT	243.316007243	181.00504265999916	2437.939200	5609.187012
loop-new/gauss_sum.i.p+cfa-reducer.yml	true	true	0.487247919	0.41968712100060657	377.122816	11.512024						true	13.811413418	6.367401094998058	323.551232	208.909058
loop-new/gauss_sum.i.p+lhb-reducer.yml	true	true	0.616893245	0.545630752996658	554.790912	14.848816						true	14.743027105	6.248014307995618	303.951872	218.264526
loop-new/gauss_sum.i.v+cfa-reducer.yml	true	true	0.488777008	0.41937940099160187	377.450496	11.712585						true	13.971573573	5.972432339003717	299.024384	207.007690
loop-new/gauss_sum.yml	true	true	0.45863728	0.3937480989989126	341.790720	11.147583						true	15.459753849	6.552953937003622	289.562624	228.654053
loop-new/half.yml	true	false	0.497595324	0.4290143169928342	342.200320	11.956909						true	20.015100526	7.81274917400151	329.662464	286.666260
loop-new/nested-1.yml	true	true	0.582842225	0.5173829840059625	539.410432	13.765564						TIMEOUT	206.019889879	181.00452577599935	1108.500480	5009.447632
loop-industry-pattern/mod3.c.v+cfa-reducer.yml	true	unknown	0.474236947	0.4077682319912128	288.161792	11.419067						true	19.312926173	8.584281696996186	298.741760	297.640442
loop-industry-pattern/mod3.c.v+lhb-reducer.yml	true	true	1.678062044	1.6047978650021832	744.378368	43.198303						true	18.573841915	9.478979329993308	280.326144	310.373718
loop-industry-pattern/mod3.c.v+sep-reducer.yml	true	true	1.551351814	1.480656446001376	725.430272	38.738464						true	12.748993634	5.04598107500351	310.804480	186.168945
loop-industry-pattern/mod3.yml	true	false	0.476880701	0.41823657699569594	253.571072	11.542725						true	13.01262377	5.381207477999851	291.639296	196.256042
loop-invariants/bin-suffix-5.yml	true	false	0.371133428	0.30377638500067405	198.934528	8.668701						true	23.558268952	9.410025315002713	298.786816	342.734802
loop-invariants/const.yml	true	true	0.384818887	0.3206416939938208	217.518080	9.228699						true	11.364137349	4.521205388002272	280.739840	164.022522
